2019-09-19 06:30:50.425 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.boc.horoscope.horos.po.CnRegionInfo.
2019-09-19 06:30:50.485 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.CnRegionInfoMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-09-19 06:30:50.695 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.CnSolarTermMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-09-19 06:30:50.845 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.HsPersonHoroscopeRecdMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-09-19 06:30:52.479 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-09-19 06:34:07.847 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.boc.horoscope.horos.po.CnRegionInfo.
2019-09-19 06:34:07.866 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.CnRegionInfoMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-09-19 06:34:07.957 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.CnSolarTermMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-09-19 06:34:08.150 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.HsPersonHoroscopeRecdMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-09-19 06:34:09.420 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-09-19 06:48:36.199 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.boc.horoscope.horos.po.CnRegionInfo.
2019-09-19 06:48:36.218 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.CnRegionInfoMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-09-19 06:48:36.393 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.CnSolarTermMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-09-19 06:48:36.660 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.HsPersonHoroscopeRecdMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2019-09-19 06:48:38.103 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-09-19 06:50:41.928 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.boc.horoscope.horos.po.CnRegionInfo.
2019-09-19 06:50:41.949 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.boc.horoscope.horos.mapper.CnRegionInfoMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
